source_field,unified_field,rule,unit,verified,notes
target_id,track_id,direct_copy,,false,
callsign,identity.callsign,direct_copy,,false,
latest_time,timestamp,direct_copy,,false,
lat,position.lat,decode_if_valid,,false,
lon,position.lon,decode_if_valid,,false,
altitude,position.alt,decode_if_valid,,false,
alt_type,position.alt_type,direct_copy,,false,
speed,motion.speed,decode_if_valid,,false,
heading,motion.heading,decode_if_valid,,false,
vertical_rate,motion.vertical_rate,decode_if_valid,,false,
on_ground,status.on_ground,direct_copy,,false,
timestamp_source,quality.time_source,direct_copy,,false,
message_valid,quality.message_valid,direct_copy,,false,
