target_id,field_name,source_value,is_valid,protocol_code,decoded_value,error,tolerance,passed
780abc,latitude,31.2304,True,2824704,31.223173433106766,0.007227,1.0,True
780abc,longitude,121.4737,True,3512362,121.46852051461235,0.005179,1.0,True
780abc,altitude,9800.0,True,10800,9800,0.000000,1.0,True
780abc,speed,230.5,True,2305,230.5,0.000000,1.0,True
780abc,heading,86.0,True,8600,86.0,0.000000,1.0,True
780abc,vertical_rate,0.0,True,32768,0.0,0.000000,1.0,True
000001,latitude,0.0,True,2097152,2.1457677235048322e-05,0.000021,1.0,True
000001,longitude,0.0,True,2097155,0.0003004074812906765,0.000300,1.0,True
000001,altitude,0.0,True,1000,0,0.000000,1.0,True
000001,speed,0.0,True,0,0.0,0.000000,1.0,True
000001,heading,0.0,True,0,0.0,0.000000,1.0,True
000001,vertical_rate,0.0,True,32768,0.0,0.000000,1.0,True
780def,latitude,30.2741,True,2802432,30.267362658348716,0.006737,1.0,True
780def,longitude,120.1551,True,3496993,120.1493883489104,0.005712,1.0,True
780def,altitude,7600.0,True,8600,7600,0.000000,1.0,True
780def,speed,None,False,0,None,N/A,1.0,True
780def,heading,270.0,True,27000,270.0,0.000000,1.0,True
780def,vertical_rate,-1.2,True,32648,-1.1999999999999886,0.000000,1.0,True
